01.01.2021 13:00;2,89402;12,0344;26,085;11,797;18,0198;8,69004;10,9667;4,1416;20,3331;10,8756;16,7799;9,510265;14;8;9,7;4,532959;7,7;11,1;;7,852285;7,1;4,2;9,6;5,786367;9,1;5,01206;7,7;8;;13,2;7,6;8,5;16,7;11,9;8,3;5,5;10,1;10,8;13;13,7494;;10,789;11,2171;22,7;20,0937;15,4798;14,25;25,317;11,2468;12,2187;16,0842;9,55038;9,5713;7,30145;4,32194;7,22168;10,7698;14,6073;8,95825;5,6;5,786688;1,740016;16,186768;11,086688;13,006736;5,8;6,826784;;19,12751;9,313392;14,786768;5,786688;;16,482;14,1539;3,4;5,2;1,4;8,5;6,7;9,4326;4,0784;10,5703;4,96642;7,8453;13,6548;5,80128;12,7767;9,80485;8,29143;10,3577;21,2449;10,0294;6,84269;7,49099;10,3244;4,3;8,2;;4;12,8034;21,8;22,0916;15,7742;9,36288;14,6018;20,8978;18,5995;20,023;18,3403;13,0943;14,4531;16,3832;15,6184;15,911;8,87434;8,58435;15,3969;6,18931;8,82441;10,3917;7,07493;2,75712;15,7882;18,5529;10,1243;23,0773;3,81423;9,81463;18,9835;18,5386;;;13,9156;11,9386;11,5086;11,8847;17,8788;8,11272
01.01.2021 14:00;2,66087;13,5986;33,1111;14,8796;18,184;9,98489;12,1469;5,49912;22,6596;12,4222;21,058;11,469366;14,6;7,3;10,5;8,205694;7,4;9,3;;7,985245;6;5,3;11;6,186367;9,1;5,01206;7,9;7,3;;12,5;9;10,3;20,3;13,3;11,1;6,1;12,9;13,4;15,2;16,7268;;11,0528;11,685;22,2;22,2654;14,288;16,5952;34,7586;12,8375;14,4738;23,2345;13,5174;11,6644;7,08014;2,67868;7,0411;13,1894;12,7729;9,30294;5,3;4,286688;1,53336;17,640096;10,486688;14,860064;6,4;8,80008;;23,05437;11,346752;11,16672;6,83336;;12,9889;14,2606;3,8;6,1;1,5;10,6;7,4;12,0737;4,70228;9,6866;9,16751;7,48425;10,721;5,53944;12,3394;10,0212;8,36359;9,75871;13,2029;9,17815;5,82562;9,71379;10,6687;6,2;9,7;;5;18,3407;23,8246;27,1413;19,0264;12,6058;16,5319;25,4859;23,9659;22,3616;22,005;11,7376;16,3205;18,5937;17,3482;16,2706;11,4879;9,98223;16,6009;6,923;11,7912;11,3514;5,99146;2,85169;13,9175;24,6543;9,758;21,4032;5,20501;8,81881;17,2951;15,2145;;;14,8387;12,4344;13,1928;13,378;17,3206;9,46759
01.01.2021 15:00;2,41443;13,2188;31,0881;14,5025;17,4059;16,6689;14,1469;4,29881;26,8617;15,8754;30,0381;15,548917;17,8;8,9;10,3;9,21251;7,6;10,3;;6,61251;7,1;6,5;14,6;5,5;8,8;5,10771;10;9,9;;12,1;10,6;12,2;22,7;17,8;10,4;6,4;11,5;16,9;19,9;17,8262;;11,5644;11,4842;22,1;28,6438;14,8345;17,8605;43,0598;13,4222;16,482;32,2188;22,8574;15,2441;6,55051;3,26397;7,82396;11,2244;11,3035;13,4626;6,1;3,440016;1,940016;9,480032;12,73336;14,320048;6,6;7,70008;;29,46151;12,193424;12,273376;6,880032;;16,6976;16,6772;1,5;6,6;1,4;6,4;9,2;7,98878;;9,53642;8,90939;12,0885;11,3588;5,98716;13,7226;11,1377;9,5852;7,1259;16,2346;12,3022;6,71782;11,4849;10,6352;8,7;12,3;;5;24,0386;24,532;29,0682;21,4553;17,6631;23,3976;31,5799;15,944;25,2753;21,3693;11,9439;19,4169;18,0418;21,5623;20,0967;13,6193;8,50203;15,3603;5,15137;11,344;10,2085;7,31287;3,09816;16,0714;34,7862;9,5408;20,1416;6,32014;9,77035;18,0164;15,5322;;;14,8738;12,9436;13,0611;16,7728;20,7108;10,0237
01.01.2021 16:00;2,66034;11,8225;26,5614;13,5401;17,7489;12,1237;17,7525;5,88577;31,2378;19,6538;34,5408;16,16255;20,1;9,3;9,9;6,432959;8,1;10,2;;8,931836;7,7;7,8;14;4,732959;10,5;5,68161;11,6;7,9;;10,4;12,6;14,2;21,7;17,8;9;7,3;12,4;18,9;23,8;19,5658;;12,6917;11,6829;19,4;27,8033;15,4054;28,2321;44,3318;15,5971;17,9866;40,1031;40,6534;15,5118;7,68576;4,08506;10,4885;21,1066;13,5272;22,0374;6,2;4,393344;1,940016;17,880032;12,43336;14,080032;7,2;9,660064;;30,6413;11,706736;15,326704;6,040016;;17,9558;16,4895;2,9;4,7;1,6;5,9;13,8;19,4511;5,26331;10,1913;8,44148;28,4498;15,2848;11,3535;13,3012;10,961;10,4682;11,1552;14,8329;13,1598;7,0223;14,7322;13,4117;9,9;13,8;;7;35,3666;29,6434;34,16;24,8252;17,7478;;33,4611;15,8292;26,9969;29,0544;13,7016;9,14202;19,6192;26,4756;17,2839;26,3707;7,46477;11,7869;5,20085;8,47282;8,97312;7,03722;3,19542;19,7139;28,2165;9,9286;21,0906;11,051;12,2115;21,7421;18,5807;;;16,9759;14,2528;14,9837;18,1412;22,7778;10,3673
01.01.2021 17:00;5,10557;11,4384;14,7182;26,3363;21,5496;11,9399;23,6079;21,7033;31,9086;20,5715;31,9755;16,089816;17,2;9,9;11,6;6,732959;7,8;8,489816;;9,478428;10,3;7,4;14,6;4,886367;9,5;6,56159;8,5;9;;10;15,9;14,1;20,2;13,8;14,5;8,3;13;27,5;19,6;21,5828;;13,2162;11,9458;18,5;17,9991;16,9534;32,8416;43,4321;18,0865;16,2552;37,1443;32,5057;15,2207;7,56292;3,86837;15,8809;39,9374;21,0276;19,0945;7,2;5,440016;3,493344;18,53336;12,086688;12,780032;7,9;9,06672;;20,50754;11,646752;13,480032;5,53336;;12,8433;19,8368;7,4;6,3;1,5;6,9;12,8;11,7263;4,77097;17,3528;10,2542;34,657;21,0277;15,3606;12,883;10,9358;13,3551;15,7366;13,6136;9,16221;6,64183;15,6133;12,4483;8,5;12,5;;9;37,9983;34,4564;38,3769;28,1472;16,6092;;43,0019;23,4252;31,538;30,1283;14,9205;19,472;28,4776;26,4558;17,0072;31,2734;9,57222;11,3546;4,4289;6,06051;10,1495;7,7521;2,65898;24,7107;22,484;13,096;22,6445;16,0875;17,758;25,9097;21,1953;;;17,942;16,7091;14,4324;15,0554;22,6179;10,2361
01.01.2021 18:00;12,1008;19,1264;23,1862;17,2534;23,1302;11,1921;25,9262;34,6369;33,8527;18,0992;30,5198;16,16255;17,2;10,4;13,5;8,739775;8;9,6;;10,692061;9,7;9,2;15,3;5,539775;9,8;8,18764;9,1;7,4;;8,1;14,8;26,6;19,2;11,2;14,7;12,3;13,3;30,7;14;22,1176;;12,2652;12,1529;18,9;18,5485;17,5009;24,2567;34,1231;19,7223;11,6643;26,5826;35,9466;14,3561;6,91523;2,75144;22,0057;35,8548;28,1411;45,4111;8;4,446672;9,786688;17,480032;16,43336;13,520048;8,1;11,546832;;28,48132;10,793424;14,826704;5,340016;;14,8201;23,6083;5,5;5,5;1,7;4,9;13,2;10,3993;4,38273;24,9189;17,1071;37,0856;16,219;15,3419;15,5442;13,3983;13,37;12,0653;14,928;9,17018;7,16631;15,4379;13,1992;17,4;15,4;;13;36,646;35,909;39,9295;31,0829;16,7654;;43,7512;25,1231;35,7636;28,9232;15,1871;24,0198;39,4488;28,9567;17,3822;36,2797;7,18115;10,8878;4,13342;5,81567;9,92594;7,89231;2,40113;22,1584;19,8564;16,8272;24,9826;16,8715;22,7174;27,4239;23,8834;;;17,7455;14,6774;13,2571;13,0374;22,5175;10,4873
01.01.2021 19:00;9,27479;26,7809;16,1198;19,4672;26,7162;11,515;25,1988;37,4051;32,9423;17,5171;29,2764;15,715958;16;9,2;10,9;9,632959;7,6;12,7;;10,990938;8,4;9,3;15,6;9,239775;9;10,19629;10,8;9,8;;9,8;12,1;28,6;21,7;14,8;17,7;21,9;17,4;28,5;17,7;20,8264;;10,6968;12,8311;17,8;19,1379;20,4105;20,1245;38,6638;19,2374;18,9824;22,9599;46,1392;15,3801;8,50075;2,92299;22,2234;53,2512;24,5223;51,5103;10,5;5,093344;19,340016;14,173376;16,080032;14,426704;9;12,413472;;27,16792;12,60008;9,93336;7,53336;;20,007;25,3344;5,2;5,7;1,4;6,8;11,9;8,8332;4,61482;24,8438;24,0289;31,6004;15,4659;12,6204;12,8856;14,2955;11,7808;13,3006;13,7756;9,00332;9,03308;15,6988;14,9841;15,1;22,6;;11;35,8689;33,9401;39,2316;25,4862;17,3369;23,2398;37,3961;22,1606;38,3099;25,7679;17,5299;4,98076;36,8278;28,8245;15,6975;33,6953;6,28729;11,5448;6,56271;5,44867;9,6232;11,8066;2,09578;21,3142;17,7833;19,3129;26,4915;20,6667;23,7174;28,7135;24,6084;;;17,7251;14,6982;14,5482;13,8885;20,793;11,5156
01.01.2021 20:00;5,74503;29,9892;15,2301;21,3289;26,3269;9,62267;23,9613;42,4629;34,3517;16,7778;32,2841;14,709142;16,2;8,3;11,4;12,679551;5,5;17,9;;8,757979;7,7;6,1;13,3;9,886367;8,2;7,2694;14,7;10;;17,1;13,3;29,5;27,5;21,6;26;24,9;23,1;26,4;20,7;17,6462;;10,9837;13,0239;16,7;16,8009;16,02;20,7889;31,557;21,8234;15,5207;26,8657;25,1757;15,0657;10,2803;3,94432;28,8756;36,1233;23,7252;53,0676;6,8;4,846672;15,840016;9,26672;14,43336;13,526704;;13,60008;;27,53472;13,073456;12,426704;6,540016;;21,834;17,1995;4,8;8;2,3;6,3;10,9;5,77402;4,46558;22,8643;23,0838;23,2524;11,7317;14,5802;11,2569;14,0707;14,3584;19,6918;14,9347;8,18658;9,3567;14,6068;15,3013;6,3;20,4;;16;35,8853;35,8951;38,2129;26,8609;21,7449;20,2985;30,6261;24,4184;37,5697;23,3646;19,4472;4,08159;27,9035;27,0744;23,7922;31,625;6,88426;10,9409;5,92167;4,80284;7,85673;12,2007;2,17434;23,6202;17,1692;22,5033;25,6228;26,0618;23,3351;28,5722;24,6739;;;16,073;14,8947;14,7564;16,0711;20,738;12,5178
01.01.2021 21:00;3,88189;30,2372;7,41484;20,8695;26,1635;10,7332;23,6954;20,0569;36,4066;16,4666;29,0507;17,708019;19,9;9,2;7,5;14,372735;5,9;18,9;;8,092061;8,2;8,1;15,8;7,786367;8,2;7,86243;11,3;8,7;;26,3;16,6;26,3;30,4;26;24,1;26;27,3;23,8;26,1;15,1643;;8,26781;12,1444;16,1;17,5938;14,1785;21,9592;33,9693;19,8386;13,8848;26,9613;23,4532;13,433;11,9161;3,31602;33,7066;30,6468;23,9121;50,0254;6,3;5,140016;8,593344;9,673376;13,13336;14,326704;11,4;15,726784;;23,55429;13,093424;11,426704;7,686688;;16,7433;16,4699;6,6;5,3;3,3;5,1;9,6;5,9088;4,18144;20,1248;21,6727;23,0378;13,6171;17,1024;10,463;12,0876;12,7355;19,0877;14,8863;8,18445;7,08767;8,15788;12,773;6,2;14;;18;35,4673;34,501;33,1862;23,0741;24,6965;20,2614;29,2892;16,1936;36,7352;28,7427;19,3117;4,39654;30,3461;26,4154;27,0506;30,7529;7,16363;12,0886;5,46464;4,77575;9,85158;8,68792;2,39626;25,8148;17,9194;23,6978;26,5774;25,9854;23,0269;28,9546;23,6427;;;15,2833;15,5768;13,4876;16,4935;21,3013;12,4317
01.01.2021 22:00;4,08265;22,0815;6,43016;21,0341;25,9864;11,6526;24,1587;10,6658;30,4826;16,5913;28,8733;18,740978;20,5;19,6;9,2;17,01251;7,5;17,2;;9,665918;11,2;16,1;22,7;7,186367;8,2;7,28853;11;8,1;;25,4;21,5;23,9;26,6;23,1;23;22;25;21,9;25,3;12,4997;;8,15967;12,3457;15,7;19,3604;10,3901;23,7023;31,8284;19,8397;17,1031;29,8463;39,1903;13,2763;9,57434;2,7472;31,3171;31,7244;25,3153;44,9426;7,2;5,346672;7,540016;7,980032;13,53336;15,073376;9;12,553408;;22,78789;12,753408;8,886688;7,286688;;15,671;15,0498;6,1;8;1,9;5,7;9,7;5,49543;3,66573;19,816;20,0718;22,4474;10,7725;7,1191;11,9733;10,3015;10,3713;17,5767;14,702;9,87267;10,0475;6,11044;10,5762;6,1;12,4;;10;33,7803;31,557;28,6258;26,3762;21,0846;21,3708;31,4742;10,704;38,8723;28,8298;18,7163;4,32324;32,9767;27,5231;23,7826;30,8368;7,10733;13,1572;3,91765;3,2812;9,65826;8,4776;2,46583;24,2278;20,2869;22,6215;26,3061;22,3068;21,2581;27,1329;21,3864;;;16,039;15,0889;11,6478;17,6425;19,2517;12,701
01.01.2021 23:00;5,82735;12,9166;5,07902;19,9193;24,6486;10,0024;23,3895;11,8517;24,7074;17,6006;28,1558;20,929591;21,6;21,7;7,6;19,859102;11,4;18,2;;15,305694;18,7;24,8;26;10,786367;7,3;7,30766;9,2;7,5;;22,8;23,4;25;26,5;24,4;23,9;19,6;21;22;21,7;13,2738;;6,5042;10,4092;16,6;18,9465;10,3301;22,0031;25,4769;22,9408;18,2056;29,5887;32,1436;14,3205;9,93284;1,92875;31,1939;32,0262;29,4494;40,7421;7,6;5,940016;11,586688;6,840016;9,893344;13,026704;8;10,020048;;18,50088;9,420048;8,186688;6,040016;;;13,7972;4,4;5,4;1,8;5,6;9,2;5,62837;3,54304;21,0553;15,8318;21,8909;14,1057;7,2019;15,4725;12,356;12,7736;23,1205;15,1518;9,72973;10,7181;8,6457;12,1832;5,4;12,4;;8;34,4375;25,5324;22,5951;23,6555;21,6158;25,376;28,6837;18,9182;34,3656;26,4775;19,8083;4,45672;31,727;30,8021;22,3247;26,6469;8,46326;12,2331;3,61309;3,95306;8,28374;6,59109;2,6041;22,4389;21,7191;20,7953;26,8212;18,7931;21,4876;24,8523;19,984;;;15,3613;15,9201;11,9484;;17,8995;14,1716
02.01.2021 00:00;6,64473;11,4773;11,1942;19,0919;25,1361;8,27099;22,3024;6,40679;29,7948;19,4149;25,9719;23,102326;23;19,2;9,3;22,185245;13,8;17,7;;17,759102;18,7;21,7;23,2;13,319326;7,1;7,4607;8,7;6,6;;20,3;23,3;25,3;26,2;25,8;23,5;20,5;19,9;22,5;21,8;12,6234;;6,72286;8,95453;15,1;18,8609;13,674;21,8111;23,4778;23,0327;20,5211;25,6463;25,967;14,3508;10,6097;1,70994;32,7596;37,4361;25,4801;39,7446;8,5;7,393344;13,793344;6,940016;8,546672;12,680032;9,2;11,386688;;18,81395;9,626704;8,03336;6,093344;;12,7445;13,3582;4,5;4,5;2,6;4,9;8,8;6,3818;3,40761;20,352;13,4674;28,2255;2,50732;5,42904;18,012;14,8936;13,8277;23,6584;18,0746;10,8063;9,11916;8,19986;13,4383;6,6;11,1;;7;27,6418;30,3113;23,1985;21,9475;19,2777;25,4155;26,4711;25,1025;32,2287;25,8065;16,4787;3,6371;33,1689;29,3091;17,7477;25,7973;7,88434;11,506;3,41319;2,85738;7,65172;7,09936;2,75416;19,2965;22,1805;19,3912;25,8105;15,0125;19,1304;20,7627;18,9067;;;14,6135;16,3559;15,0304;14,778;20,384;13,6087
02.01.2021 01:00;5,78606;7,58267;19,5578;16,0315;24,2685;7,97767;19,4471;6,90073;24,5326;20,0595;24,8954;20,290938;22,1;20,1;9,6;22,9;13,6;16,3;;17,698877;19,9;16,9;18,7;13,419326;6,5;7,09723;16;6,2;;19,7;21,9;23,9;26,2;27,6;22,6;18,9;21,3;20,2;21,7;9,21584;;5,351;7,73138;14,2;16,3097;13,6427;22,3318;25,0254;24,8592;22,0661;26,435;22,7014;14,6381;10,9677;1,93619;62,4509;52,4699;22,8366;38,4445;10;8,486688;8,540016;5,793344;8,546672;14,680032;9,9;12,66672;;13,46047;9,686688;7,73336;6,240016;;9,72677;16,6303;3,8;3,6;2,8;4,8;10;4,49561;3,4979;11,6006;14,0272;28,9994;4,53683;6,21091;18,1687;13,1583;12,0044;21,4015;16,4152;10,8866;11,1416;10,1442;11,6438;7,7;10,2;;9;22,8468;29,6354;23,955;22,9892;21,148;25,6033;22,7828;32,41;35,5769;22,3488;16,8701;3,31936;32,4646;29,5691;16,9087;24,9897;7,08715;9,52654;3,96675;3,235;7,2332;9,70977;2,93964;12,9971;21,2294;19,1449;22,7451;13,3214;16,5742;16,4023;16,9337;;;12,1558;14,4676;15,0065;12,7526;19,684;10,4459
02.01.2021 02:00;;;;;;;;;;;;18,811387;21;17,2;12;17,3;14,4;15,6;;18,005694;19,3;13,4;17,4;12,159102;6,6;6,73376;10,4;6,2;;18,7;20;22,3;24,5;26,1;20,8;18;20,4;18,6;22,2;10,0571;;5,62479;8,3103;13,3;15,8819;13,8886;24,0585;28,3921;24,6478;25,676;28,6821;19,1588;14,6535;8,93908;2,06312;53,4777;55,0231;20,19;32,3155;10,9;11,240016;4,240016;6,493344;9,693344;17,026704;11,5;15,006736;;12,57378;10,386688;7,780032;6,493344;;10,4794;17,384;3,2;4,3;2,1;5,5;9,9;3,72369;3,87127;9,00321;13,3065;25,2161;4,34935;2,42621;17,4428;9,74019;8,13975;8,41823;17,6664;11,0508;13,2369;11,275;10,4227;7,8;11,3;;9;15,7171;30,0604;31,1432;23,9374;18,1119;24,975;23,8464;30,0407;35,4041;27,4117;22,5402;3,1001;31,5246;27,6265;15,9291;22,8017;7,86522;9,53026;6,12051;3,52764;6,98783;9,15317;7,42314;11,2205;20,6414;19,5789;22,3127;11,2895;15,1644;12,6473;15,5794;;;12,8301;13,0066;11,6372;12,4657;19,9751;7,82327
02.01.2021 03:00;3,10434;4,91915;12,9931;15,296;22,4604;8,21788;18,1046;6,1099;20,0872;18,9915;22,833;19,110265;19,7;15,1;14,2;11,7;13,8;15,7;;17,072735;17,7;11,9;13,9;12,259102;6,6;6,3129;7,6;5,4;;19;19,3;20,2;22,9;23,4;18,2;17,9;18,9;19,2;21,1;9,34968;;4,77809;7,27941;12;17,0477;13,2719;22,095;27,4648;23,789;26,9689;26,7446;15,0369;16,5437;7,54714;2,34514;38,6146;41,0806;19,4012;25,0711;11,1;13,086688;4,240016;6,693344;11,093344;15,53336;14;17,980032;;12,05373;11,280032;8,83336;7,193344;;16,2377;17,1302;3,5;6;2,8;7,8;7,7;4,96709;4,05185;10,6976;11,7875;23,0903;2,46709;0,48606;15,7355;10,7868;10,392;11,8467;12,4298;10,4296;14,5415;14,3507;11,1948;8,9;15,2;;10;8,78338;33,3108;31,6999;25,7298;17,6394;23,8469;28,2284;31,224;32,5989;27,6279;32,6596;3,20313;34,8441;24,6175;17,4799;24,4258;7,85885;12,5783;7,26525;7,08662;8,0612;8,69163;10,1463;9,46227;20,1277;20,0209;19,9522;9,06512;14,025;11,1082;11,9189;;;12,1116;12,9051;8,01287;11,9929;16,815;6,2772
02.01.2021 04:00;3,70025;3,99714;14,7298;16,7581;20,2396;10,1989;19,3134;8,62843;20,8015;18,4497;20,9704;15,843224;17,4;10,7;13,8;9,2;12,8;13,2;;14,665918;16,3;9,9;12,7;11,71251;6,9;5,26075;8;6,2;;21,1;21,5;20,1;23;24,6;17,4;16,7;18,3;18,9;20,8;11,4678;;4,27566;7,71386;12,4;18,0281;14,7144;21,8592;28,3613;22,0023;19,4903;28,2514;10,7393;14,3364;7,5524;2,32284;37,7526;31,0885;17,7098;22,3619;10,1;14,893344;5,193344;8,293344;14,440016;17,480032;13,6;16,280032;;12,1004;12,36672;8,986688;8,240016;;18,0541;20,2881;5;6,8;4,3;6,5;9,3;13,731;4,36945;13,0505;23,4767;21,8762;8,99232;0,63637;14,1036;13,0978;12,2397;11,3965;12,8054;10,5858;15,7961;14,3629;11,173;7,8;14;;9;18,4202;30,7747;25,5135;30,984;18,8281;32,2746;32,8869;30,438;28,6674;22,8728;29,1341;3,02786;25,3738;24,1124;19,3935;24,9474;7,9433;18,0291;7,36113;9,82343;10,2212;10,4884;9,47211;9,12598;18,8857;20,2561;17,4237;7,18735;12,7273;10,9276;9,58085;;;;11,9891;7,38138;14,3625;14,5131;5,78539
02.01.2021 05:00;3,86436;4,70352;16,8569;12,8035;17,9404;8,82229;19,5886;15,9201;23,3062;19,0005;19,7541;14,670489;15,9;9,6;13,9;8,7;10,5;12,2;;11,832959;9,4;9,5;14,1;11,865918;6,4;4,72511;7,4;5,7;;19,6;23,5;19,1;22,8;23,4;16,6;15,2;16,1;17,6;19,6;9,44197;;4,50887;8,86318;13,1;12,8526;14,3246;26,3919;25,3191;17,6706;16,1089;21,3395;13,1205;17,5385;10,2043;2,66806;29,4274;33,7059;14,5267;14,6549;10,2;15,386688;6,240016;9,140016;14,440016;18,673376;12,7;14,920048;;13,20706;13,273376;10,53336;9,140016;;21,2274;19,6725;6,1;5,6;3,9;7,1;11,4;18,5195;3,84046;15,4308;9,51432;20,9745;5,01536;1,12658;15,2843;13,5121;12,6329;10,6153;16,6623;13,1561;15,2509;14,5106;12,4398;7,3;16,9;;11;24,0567;26,4642;22,4272;29,1119;16,6645;29,6068;32,9639;29,4055;23,6649;24,8061;28,4044;2,93333;27,1817;26,7948;21,6221;23,959;8,05696;17,8634;9,12606;8,7713;13,9236;13,4775;10,6019;8,57351;18,7379;20,0388;15,6755;5,9101;12,8008;11,1751;7,95449;;;12,0461;12,1519;7,53859;13,3535;16,79;7,03138
02.01.2021 06:00;3,23447;6,9002;14,2306;18,9585;17,3139;8,34854;17,6608;20,7834;26,2326;19,607;20,8323;16,034162;16,6;9,7;13,8;7,4;7,5;11,2;;9,326143;7,6;10,5;15,5;11,81251;7,1;4,07469;9,4;6,4;;19,9;24,9;22;23,3;29,4;18,1;14,2;16;19,7;24,2;14,3113;;4,50223;8,63587;15,1;11,6435;15,8021;28,5095;23,2542;16,4379;11,5029;18,7365;13,7394;18,2247;14,2071;2,68984;21,5112;29,9164;14,4247;2,43302;9,9;13,240016;6,546672;11,140016;18,180032;17,773376;11,7;14,926704;;16,16063;14,16672;13,03336;8,673376;;24,6425;19,2496;8,2;7,5;3,1;11,4;11,7;9,19545;3,3768;12,6665;10,6275;24,4788;3,10814;2,39912;15,1802;14,0437;14,7489;;15,2224;13,061;15,1605;15,7637;13,4277;8;15,4;;9;33,2877;29,6408;25,1338;28,8102;17,1038;30,5591;33,2035;30,1273;20,7238;28,3427;26,3458;3,01193;28,9774;24,9758;19,5842;21,0894;8,30127;19,1805;11,3145;8,6109;15,1053;16,8389;10,5515;9,65838;21,2554;20,0421;17,7328;5,24953;13,0966;12,0419;8,84582;;;12,2347;12,567;10,6111;14,7991;16,1519;5,9819
02.01.2021 07:00;4,64191;11,5867;16,543;22,5701;15,6299;8,2864;12,2541;28,9364;25,061;19,5497;21,5546;17,221652;17;10,8;14,4;8,5;6,6;9,3;;8,972735;8,7;10,1;19,7;10,879551;8,3;3,76861;11;7,7;;19,4;25,9;21,9;21,6;25,9;17,4;14,6;17,7;21,2;26,2;10,3243;;4,22786;6,3165;12,4;14,5662;20,3862;28,6138;29,8245;14,3002;13,9624;21,2057;18,3493;18,7171;13,9973;3,4148;20,0788;35,3825;19,0054;3,17445;10,5;12,593344;6,540016;11,193344;15,386688;16,620048;11,6;14,906736;;14,46712;13,413392;14,173376;8,886688;;25,1625;20,5701;9,5;7,3;3;10,6;10,3;8,73233;3,32476;13,0376;12,2979;19,2676;9,8155;4,52771;14,0281;16,6091;16,1283;18,5145;16,105;13,2592;13,9495;15,9358;16,4242;11;14,9;;8;31,5232;35,1404;28,2087;28,0694;18,9466;31,096;35,9919;28,7363;23,8077;29,5425;26,384;3,34175;28,0358;24,872;15,2625;22,7422;10,4485;20,6958;12,8879;9,6471;18,7057;18,8651;8,95631;9,35717;21,2835;20,1304;18,0294;4,95595;10,5185;17,3137;12,3435;;;12,5135;11,5773;9,94718;11,3431;;5,00785
02.01.2021 08:00;5,02909;18,9506;18,4885;19,6872;18,6365;7,74944;14,867;30,4815;21,5169;18,3855;21,6449;16,279631;13,7;9,6;14,2;13,5;6,8;9,8;;11,898877;9,6;8,126143;16,5;10,272735;;3,51992;13,8;8;;17,3;24,2;22,8;22;27,3;16,1;15;17,2;22,4;24,9;12,7302;;3,77811;6,36802;13,4;;23,0916;26,1608;30,3376;15,0336;18,7344;22,3529;21,1391;17,9868;12,4065;3,30911;16,7025;36,31;17,3045;1,74204;12,1;11,640016;6,786688;14,03336;16,413392;16,320048;11,7;15,93352;;21,35421;13,013392;13,773376;8,286688;;26,3097;25,6267;9;8;3;10,9;13;17,5026;2,96891;13,2547;15,561;19,6072;14,2795;5,67736;14,1541;16,2993;14,6187;19,5724;18,8635;13,9904;14,6966;13,6578;17,4046;8,5;18,8;;8;29,1791;33,8291;28,4638;27,517;20,0264;31,7599;41,7809;29,0194;29,4618;28,7984;28,1393;3,39752;27,0112;24,3579;12,4269;25,1247;11,4407;21,6199;13,0173;8,84725;18,7222;17,7141;5,73256;10,903;23,5729;19,7171;20,4167;4,78949;9,27676;22,1266;12,6261;;;14,6693;14,398;9,07297;13,529;21,621;5,04821
02.01.2021 09:00;8,0697;19,6416;21,1595;16,9874;21,2572;7,82539;18,0722;28,0841;25,4726;14,3522;19,9172;14,354611;13,3;10,1;14,3;17,1;8,8;12,2;;12,184122;10,4;10,278428;16,2;8,965918;;3,78774;22,9;10,8;;14,8;22,8;23,2;21,2;25,6;16,6;15;18,5;18,7;25,6;14,1005;;3,94865;6,15239;15,5;15,306;20,9555;21,6387;26,2034;14,2656;15,6035;22,4989;23,2535;16,3972;9,54996;3,3601;14,9212;30,3823;15,5214;2,45958;12,1;10,273376;8,180032;18,073456;17,313392;17,206736;13,1;17,373536;;20,27418;12,93344;14,060064;8,480032;;23,6679;22,6516;10,4;6,1;3,4;12,4;13,5;11,9026;3,22331;11,8897;14,5556;32,3844;9,9196;9,6459;13,2576;15,4386;13,1553;20,7663;19,8996;14,2768;14,3278;15,3683;16,641;6,8;20,7;;10;47,4451;36,7508;23,2223;27,3925;18,7457;32,1274;42,8442;27,9025;28,4695;24,984;24,4364;3,44266;26,7866;24,9497;11,3753;28,7124;11,1013;21,1329;12,5845;7,7197;17,6063;16,0815;5,5147;12,1305;24,8478;18,9901;15,7348;7,72418;10,3274;18,6011;12,954;;;14,7309;14,0504;8,82069;10,3892;18,8884;5,74503
02.01.2021 10:00;9,03101;16,7789;23,0959;17,8304;18,1696;8,63852;16,7679;32,5502;27,1971;10,9754;18,6946;13,315958;16,1;9,7;14,1;11,6;8,1;12,1;;11,610265;8,3;11,011387;20;8,031836;;3,86426;25,5;14,8;;14,3;22,8;26,1;22,8;27,4;16,5;13,2;16,9;17,6;23,1;15,927;;3,63785;6,53585;16,8;22,8515;23,2239;22,0553;28,7419;15,3103;16,4804;22,2753;27,6928;17,2368;6,7484;3,83597;13,3045;22,6218;19,3785;2,89668;12,3;9,073376;12,053408;19,13352;17,286768;17,680112;13,6;17,760305;;19,26792;11,9668;12,553408;9,060064;;24,4396;23,807;10,1;5,9;3,9;12;12;5,37222;3,06398;12,5639;11,1937;38,7987;13,8929;12,5699;11,7224;15,0031;14,1441;17,7811;18,8929;13,586;12,215;14,4527;15,3056;7,3;21,4;;9;40,6305;32,9289;16,6594;26,5684;16,5866;31,77;38,6847;26,3426;24,9141;24,5936;24,4736;3,45806;27,8924;25,3407;11,216;33,3086;11,9973;19,6755;11,8429;7,89868;19,1922;14,5514;5,71009;12,7693;24,5765;18,9733;15,8755;8,98029;11,0753;15,9721;14,0942;;;17,1039;13,3947;10,2664;14,3312;20,1557;6,37971
